Date,Low,Open,Volume,High,Close,Adjusted Close
01/02/2020,154.3600006,155.8500061,2037800,156.0200043,156.0200043,147.6207428
01/03/2020,154.1300049,154.7599945,1176000,156,155.7799988,147.3936768
01/06/2020,155.0099945,155.3300018,1281800,157.0899963,157.0599976,148.6047363
01/07/2020,153.6399994,154.1199951,1505900,155.3600006,153.9199982,145.6338196
01/08/2020,152.6699982,153.6999969,2106300,154.8000031,152.8699951,144.6403198
01/09/2020,152.5,153.5099945,1796900,154.0500031,153.9499969,145.6621552
01/10/2020,150.1100006,153.5599976,2363000,154.4499969,150.9900055,142.8615265
02/03/2020,152.2899933,152.5599976,1831900,154.8500061,153.2299957,144.9809418
02/04/2020,154.1499939,154.6100006,1880600,155.7200012,154.3000031,145.9933472
02/05/2020,157.3500061,160.2799988,3119400,165.3999939,165.3300018,156.4295349
02/06/2020,162.7899933,166,3035600,167.7400055,163.2200012,154.4331207
02/07/2020,162.2400055,162.6100006,1908200,164.5299988,162.7299957,153.9695282
02/10/2020,162,162.7599945,1511000,163.3600006,163.3500061,154.5561676
02/11/2020,162.3200073,163.1900024,1718600,164.3600006,164.1399994,155.3035889
02/12/2020,163.7200012,164.7700043,1174600,165.7700043,163.8899994,155.0670776
03/02/2020,145.0099945,145.1300049,3069400,152.1399994,151.8099976,143.6373596
03/03/2020,145.2400055,152.1199951,2838300,153.5599976,146.1799927,138.3104706
03/04/2020,146.6399994,147.8999939,2147900,152.2700043,151.9400024,143.760376
03/05/2020,143.1300049,148.1799927,2569500,148.1799927,144.8899994,137.0899353
03/06/2020,139.2599945,139.8699951,3488900,145.4499969,144.8200073,137.0236969
03/09/2020,131.9600067,135.6499939,3246600,142,134.9700012,127.7039337
03/10/2020,133.8800049,139.0700073,2602200,139.3200073,139.1000061,131.6116333
03/11/2020,129.6699982,135.0500031,2664200,136.6499939,131.2899933,124.2220535
03/12/2020,116.5500031,124,3339900,126.5299988,116.7399979,110.4553452
04/01/2020,102.6100006,105.9499969,2313200,107.9899979,104.1699982,99.30828094
04/02/2020,103.4199982,103.6800003,2256600,108.3799973,105.9300003,100.9861526
04/03/2020,101.3199997,104.7799988,1868100,106.6399994,102.8199997,98.02130127
04/06/2020,106.9300003,107.3000031,3005300,111.4499969,110.7600021,105.5907364
04/07/2020,111.7799988,117.3499985,2396100,119,112.0299988,106.8014603
04/08/2020,111.0800018,112.6699982,2374500,115.5500031,114.6100006,109.2610474
04/09/2020,116.1100006,116.7200012,2719200,123.3899994,122.2699966,116.5635376
05/01/2020,100.9700012,105.5699997,2420000,106.0400009,101.5899963,96.84868622
05/04/2020,98.59999847,100.8000031,3442700,101.0199966,99.33999634,94.70371246
05/05/2020,100.0999985,100.4000015,2762300,102.3000031,100.1600037,95.48544312
05/06/2020,95.05000305,100.8300018,3164800,101,95.25,90.80459595
05/07/2020,96,96,4543800,99.5,98.98999786,94.37004089
05/08/2020,99.37999725,100.8000031,4828000,102.2399979,101.9499969,97.19189453
05/11/2020,99.88999939,101.1100006,3910600,102.4499969,101.8300018,97.07749176
05/12/2020,101.5100021,102.1399994,3612700,103.0999985,101.5899963,96.84868622
06/01/2020,118.5500031,121.1200027,2395500,121.1200027,119.5599976,113.9800262
06/02/2020,117.1699982,117.8499985,4051800,123.1800003,121.6999969,116.020134
06/03/2020,123.7600021,125,4247900,127.6399994,126.4499969,120.5484619
06/04/2020,125.0100021,125.8499985,4305900,134.7100067,134.5299988,128.2513733
06/05/2020,136.75,142.4299927,4914900,142.6000061,140.6699982,134.1048279
06/08/2020,138.8500061,142.1900024,3646600,142.75,140.6999969,134.1334076
06/09/2020,137,137.5299988,2629500,140.1300049,137.6900024,131.2638702
06/10/2020,130.9199982,136.3000031,2475300,136.8200073,130.9799957,124.8670578
06/11/2020,121.0999985,124.8700027,3270200,128.0200043,121.4400024,115.7722702
06/12/2020,122.6399994,126.7799988,2080900,128.0500031,125.6900024,119.8239288
07/01/2020,124.9599991,126.4800034,1271200,128.2299957,125.6600037,120.5201263
07/02/2020,125.3300018,128.5,1155200,129.8399963,125.5699997,120.4337997
07/06/2020,126.5800018,127.6800003,1463100,129.1799927,127.2900009,122.0834503
07/07/2020,125.5699997,127.5500031,2334600,128.6799927,127.1699982,121.9683609
07/08/2020,125.75,126.2099991,1914500,128.3800049,127.8600006,122.6301422
07/09/2020,122.4300003,127.6200027,1753000,128.0299988,124.3399963,119.2541122
07/10/2020,123.9899979,124.5299988,1556000,129.1999969,128.4299927,123.1768112
08/03/2020,125.4100037,127.5899963,1851600,127.6500015,126.4499969,121.2778091
08/04/2020,124.0899963,125.8099976,1775700,126.5599976,124.7600021,119.6569366
08/05/2020,125.5999985,125.8199997,1588500,127.25,125.6699982,120.5297165
08/06/2020,124.0899963,124.9800034,1247900,127.5599976,126.5599976,121.3833084
08/07/2020,125.5800018,125.6699982,1284300,130.1600037,129.9499969,124.6346588
08/10/2020,129.4600067,130.3399963,1309200,131.5200043,130.9600067,125.6033478
08/11/2020,131.5399933,133.0299988,1665000,134.8300018,132.0099945,126.6103897
08/12/2020,130.1100006,133.6499939,1913500,133.7799988,130.2799988,124.9511566
09/01/2020,123.6500015,124.0199966,1110700,125.25,124.8600006,119.7528534
09/02/2020,123.4800034,124.6200027,1783500,126.4599991,125.8300018,120.6831741
09/03/2020,123.0999985,127.5100021,1436000,130.2299957,124.0100021,118.9376144
09/04/2020,124.3199997,126.2900009,1420400,127.7200012,125.5599976,120.4242249
09/08/2020,120.2600021,125,1757400,125.2699966,121.1100006,116.1562271
09/09/2020,121.1200027,121.7799988,1403100,124.75,122.2200012,117.2208252
09/10/2020,119.0800018,122.6900024,1795600,123.5400009,119.2300034,114.3531342
09/11/2020,118.3499985,119.5599976,1766200,121.4899979,120.6699982,115.7342377
10/01/2020,114.5599976,116.5,1459300,117.1699982,115.8799973,111.8759995
10/02/2020,114.2099991,114.7600021,1255800,117.1699982,116.5599976,112.5325012
10/05/2020,117.4400024,117.9100037,1301800,119.5999985,119.0999985,114.9847336
10/06/2020,116.8399963,120,1541400,120.1600037,117.2600021,113.2083206
10/07/2020,117.2799988,117.4000015,1955300,119.3799973,119.1100006,114.9943924
10/08/2020,119.1299973,119.5999985,1236300,122.0599976,121.2799988,117.0894012
10/09/2020,119.9700012,121.8700027,1241300,121.9400024,120.4499969,116.2880783
10/12/2020,119.9300003,120.6500015,1542300,123.8600006,123.4499969,119.1844254
11/02/2020,130.2599945,132.2700043,2708800,134.6600037,134.6199951,129.9684753
11/03/2020,135.0700073,135.6999969,3096200,138.5500031,135.2799988,130.6056366
11/04/2020,131.1000061,132.1300049,1799500,136.1999969,132.9499969,128.3561859
11/05/2020,133.0099945,133.3300018,1697200,138.5,136.7299957,132.0055695
11/06/2020,136.7700043,137.3800049,1724900,138.6300049,137.6900024,132.9323883
11/09/2020,142.2899933,149.6600037,4092900,150.6100006,146.9799957,141.901413
11/10/2020,147.3399963,147.8300018,3016000,151.9900055,151.5,146.265213
11/11/2020,147.3200073,151.3500061,1603500,151.4499969,149.0299988,143.8805695
11/12/2020,144.4400024,147.8699951,1872200,147.8699951,146.1799927,141.1290436
12/01/2020,149.3300018,151.4400024,2197200,153.1699982,152.6300049,147.3561859
12/02/2020,150.7899933,151.6199951,2082900,153.3000031,153.1799927,147.8871613
12/03/2020,151.8399963,152.7299957,2002000,154.1399994,153.9900055,148.6691742
12/04/2020,153.8300018,154.7100067,1457100,155.4400024,155.4199982,150.0497437
12/07/2020,151.7200012,153.8800049,1260500,154.9299927,152.3399963,147.0762024
12/08/2020,151.1399994,151.8399963,1525400,153.4100037,152.3999939,147.1341095
12/09/2020,151.5500031,153.5399933,2088900,154.25,153.0299988,147.7423553
12/10/2020,151.7700043,152.1000061,1997100,154.7700043,153.6799927,148.369873
12/11/2020,152.4700012,152.4700012,1504500,154.2200012,153.7400055,148.4278107
01/04/2021,148.4100037,152.4400024,1799100,153.5099945,149.7299957,145.2914886
01/05/2021,148.3899994,149.9900055,946900,151.1900024,149.8500061,145.407959
01/06/2021,151.5,151.6199951,1718800,157.3800049,156.9799957,152.3265839
01/07/2021,155.2100067,157.9499969,1410100,157.9900055,155.8600006,151.2397919
01/08/2021,153.3300018,156.4100037,1287700,157.3099976,155.3999939,150.7934113
01/11/2021,153.6199951,154.5899963,1471200,155.4499969,154.1300049,149.5610962
01/12/2021,154.0599976,154.3200073,1064900,156.7299957,156.6100006,151.9675751
02/01/2021,146.1799927,147.0099945,1714300,148.3699951,148.0399933,143.6515808
02/02/2021,148.2700043,149.6699982,1574900,151.9600067,150.6399994,146.1745148
02/03/2021,151.0500031,152,2574200,155.9499969,155.3200073,150.7157898
02/04/2021,156.5599976,157.1699982,3183200,162.8999939,162.7299957,157.9061432
