Date,Low,Open,Volume,High,Close,Adjusted Close
01/02/2020,146.0700073,148.1600037,780100,148.6499939,147.4900055,144.2579041
01/03/2020,144.8000031,145.2799988,1191700,148.3600006,147.9400024,144.6980286
01/06/2020,146.1999969,146.7700043,1059600,148.7700043,148.5,145.2457581
01/07/2020,146.5200043,146.5200043,817600,148.7899933,148.3000031,145.0501556
01/08/2020,147.7100067,148.8600006,883200,149.75,149.2799988,146.0086517
01/09/2020,147.3699951,149.4100037,953000,149.7400055,147.4199982,144.1894226
01/10/2020,147.4900055,148.0599976,940500,148.5700073,148.1399994,144.8936615
02/03/2020,139.1000061,139.7299957,2073600,142.2599945,141.8000031,138.6926117
02/04/2020,142.9100037,143.1799927,1504100,145.1600037,144.3699951,141.2062531
02/05/2020,144.8600006,144.9199982,2331800,151.25,151.0399933,147.7300873
02/06/2020,148.7100067,151.6399994,1269900,151.9299927,149.2599945,145.9891052
02/07/2020,144.2799988,148.5,2395800,149.0700073,145.9299927,142.7320557
02/10/2020,145.2599945,145.7299957,1260400,146.75,146.6799927,143.4656525
02/11/2020,146.7599945,147,1232400,149.6399994,149.5599976,146.2825012
02/12/2020,149.5,150.1199951,1776900,151.9100037,150.5599976,147.2606049
03/02/2020,125.0100021,127.0699997,3978900,135.5500031,135.0500031,132.5379639
03/03/2020,126.8399963,134.8200073,3250600,138.6999969,128.7700043,126.3748016
03/04/2020,133.6900024,135.5,3194200,140,135.2299957,132.7146301
03/05/2020,124.9800034,131.3600006,3389800,132.6399994,127.8300018,125.4522858
03/06/2020,122.25,123.5699997,2732900,127.4300003,127.1999969,124.8340073
03/09/2020,110.5100021,119.4199982,3248400,121.3399963,116.7399979,114.5685654
03/10/2020,113.3799973,120.8300018,3247100,122.2600021,120.8700027,118.6217422
03/11/2020,110.6399994,117.5400009,4054800,118.5899963,112.5899963,110.4957581
03/12/2020,101.0100021,103.9899979,4602200,109.0199966,101.5100021,99.62184906
04/01/2020,82.01999664,83.91999817,3224500,86.38999939,83.73000336,82.1725769
04/02/2020,81.75,82.62000275,2180800,88.83999634,83.90000153,82.33939362
04/03/2020,79.73999786,83.31999969,2080800,84.34999847,81.83000183,80.3079071
04/06/2020,85.04000092,86.55000305,3918600,94.19000244,93.58000183,91.8393631
04/07/2020,97.81999969,99.51000214,4568000,102.6100006,98.61000061,96.77579498
04/08/2020,99.23999786,100,4130300,110.8300018,108.0599976,106.0500183
04/09/2020,105.6299973,108.7300034,3551600,112.1800003,108.0599976,106.0500183
05/01/2020,103.6999969,107.3799973,1850700,108.6200027,104.8600006,102.9095306
05/04/2020,101.4599991,103.2799988,2459700,104.3199997,103.6100006,101.6827927
05/05/2020,104.9199982,105.5999985,2144600,108.4899979,106.4599991,104.4797745
05/06/2020,99.05000305,106.9199982,2694500,106.9199982,99.48000336,97.6295929
05/07/2020,100.3799973,101.0400009,1830200,104.8199997,102.5400009,100.6326981
05/08/2020,104.0800018,104.5,1694500,108.1200027,107.9199982,105.9126205
05/11/2020,103.0500031,105.7900009,2764200,106.5999985,104.1399994,102.2029343
05/12/2020,99.44000244,104.9000015,2822500,104.9700012,99.55000305,97.69830322
06/01/2020,106.5500031,106.8399963,1339100,110.4400024,108.8300018,106.805687
06/02/2020,107.8300018,109.5699997,1185800,109.9199982,109.0199966,106.992157
06/03/2020,107.8099976,109.75,2788500,113.2099991,107.9400024,105.932251
06/04/2020,105.3700027,107.5500031,2191400,108.6100006,106.9599991,104.9704742
06/05/2020,111.2200012,112.5100021,3081700,117.5100021,115.5599976,113.4105072
06/08/2020,116.3899994,117.5,1839000,118.6999969,118.0400009,115.8443832
06/09/2020,112.1999969,115.9300003,2589600,116.8899994,116,113.8423309
06/10/2020,108.7099991,115.2699966,3296400,116.1900024,110.0899963,108.0422592
06/11/2020,100.7900009,105,4087900,106.9599991,101.1100006,99.22929382
06/12/2020,98.5,104.8399963,3666500,106.6600037,100.5500031,98.67971039
07/01/2020,96.01000214,96.70999908,2240100,100.25,98.08000183,96.25565338
07/02/2020,97.73000336,100.1999969,1546000,102.1800003,97.97000122,96.14768982
07/06/2020,97.30999756,99.69000244,1361500,100.0599976,99.20999908,97.36461639
07/07/2020,96.16000366,98.08999634,1280500,99.11000061,96.23999786,94.44987488
07/08/2020,93.34999847,96.22000122,1600800,96.22000122,95.62999725,93.85121918
07/09/2020,92.05999756,95.76000214,2934100,95.98000336,94.33999634,92.58521271
07/10/2020,93.25,93.83000183,1693900,97.01999664,96.72000122,94.92094421
08/03/2020,124.8099976,127.1100006,1125100,127.3000031,125.8700027,123.5287476
08/04/2020,124.3600006,124.9000015,2115200,128.7899933,128.3899994,126.0018616
08/05/2020,129.1799927,129.6600037,2232500,131.8899994,130.4100037,127.9842834
08/06/2020,130.5399933,130.9199982,1687600,132.9700012,132.3200073,129.8587341
08/07/2020,128.6399994,131.5,1372400,133,130.2700043,127.8469086
08/10/2020,130.3200073,130.3200073,1052200,132.9799957,132.4700012,130.0059814
08/11/2020,130.8600006,133.9299927,1493000,134.9700012,131.5899963,129.142334
08/12/2020,130.3500061,132.8699951,1252000,133.1100006,132.1300049,129.6723022
09/01/2020,132.5700073,134.3500061,1354200,134.6000061,134.1999969,131.7037964
09/02/2020,132.9600067,134.6900024,2198000,139.4799957,138.1699982,135.5999451
09/03/2020,134.3000031,138.7700043,1860100,139.3699951,136.6000061,134.0591583
09/04/2020,134.8500061,136.6399994,1123400,139.1799927,137.0500031,134.5008087
09/08/2020,132.3899994,136.2799988,1418800,136.2799988,132.5299988,130.0648651
09/09/2020,132.7599945,133.6499939,1953900,135.3399963,133.8099976,131.3210297
09/10/2020,134.1000061,134.8099976,2093100,136.4499969,134.6699982,132.1650696
09/11/2020,132.1799927,134.6300049,745600,135.1499939,134,131.5075073
10/01/2020,121.4800034,124.7399979,1847900,125.6999969,124.5599976,122.243103
10/02/2020,121.4599991,121.5,1489900,128.1799927,127.0500031,124.6867981
10/05/2020,126.8899994,128.1799927,1481700,130.7799988,130.1699982,127.7487411
10/06/2020,128.2100067,130.7899933,1257600,132.3999939,128.3699951,125.9822311
10/07/2020,128.5599976,130,1001500,132.3399963,129.0700073,126.66922
10/08/2020,128.9499969,129.8899994,1135500,132.4799957,131.8300018,129.3778687
10/09/2020,133.1999969,139.5,2754300,140,133.9600067,131.468277
10/12/2020,129.8899994,135,1332500,135.2899933,130.2299957,127.8076553
11/02/2020,125.1800003,126.1100006,2013000,130.7400055,130.6000061,128.2437439
11/03/2020,132.3500061,132.7899933,1656100,137.2200012,136.0899963,133.6346436
11/04/2020,131.5599976,135.9900055,2301300,138.6300049,131.8000031,129.4220581
11/05/2020,133.5200043,133.9299927,1681800,140.4900055,137.5599976,135.0781708
11/06/2020,136.3500061,137.3300018,1004200,139.5599976,138.5,136.0011749
11/09/2020,145.9900055,147.6900024,3778600,152.6699982,147.3200073,144.6620636
11/10/2020,146.3800049,146.3800049,2497400,154.9400024,152.1100006,149.3656311
11/11/2020,144.7799988,151.6300049,1456300,152,145.4700012,142.8454132
11/12/2020,142.4700012,144.6100006,2101800,147.8300018,144.5899963,141.9812775
