Date,LLY,UHS,HCA,JNJ,UNH,REGN,Average
01/02/2020,127.1451492,140.3629608,144.2579041,135.064743,283.7741394,373.3500061,200.6591504
01/03/2020,126.7220154,140.0276184,144.6980286,133.5010376,280.9024963,369.1600037,199.1685333
01/06/2020,127.1932602,139.9191437,145.2457581,133.3344727,282.852478,371.7399902,200.0475172
01/07/2020,127.4336777,140.481308,145.0501556,134.1487427,281.14505,373.1300049,200.2314898
01/08/2020,128.5877228,143.0950623,146.0086517,134.130249,287.0727539,382.4200134,203.5524089
01/09/2020,130.7130585,142.3553162,144.1894226,134.5280914,285.4428711,383.4700012,203.4497935
01/10/2020,132.7133636,144.0518036,144.8936615,134.2227478,286.3257141,381.4100037,203.9362157
02/03/2020,135.5984497,135.3820496,138.6926117,138.9509735,265.8454895,341.1199951,192.5982615
02/04/2020,137.9449615,136.5952454,141.2062531,140.2741394,272.4620361,356,197.4137726
02/05/2020,141.7052002,140.0571899,147.7300873,142.485611,286.9078674,372.1600037,205.1743266
02/06/2020,141.657074,139.1497955,145.9891052,142.059967,283.7354431,389.8500061,207.0735652
02/07/2020,140.8011932,136.2401428,142.7320557,140.5424805,280.5920105,381.8699951,203.796313
02/10/2020,139.9356689,137.6999207,143.4656525,140.5146942,278.4673767,386.2099915,204.3822174
02/11/2020,138.7239227,139.7416077,146.2825012,140.6350403,282.1152039,396.75,207.3747126
02/12/2020,138.0122681,138.3903198,147.2606049,139.8022614,294.4266357,406.2999878,210.6986796
03/02/2020,128.4131927,130.2195892,132.5379639,130.385437,264.962616,464.75,208.5447998
03/03/2020,125.9675064,123.8182526,126.3748016,126.260231,253.6019287,461.5499878,202.9287847
03/04/2020,135.7019196,130.1109314,132.7146301,133.6073456,280.7861328,493.480011,217.7334951
03/05/2020,135.4795685,126.0211716,125.4522858,132.2385101,274.5187378,488.1700134,213.6467145
03/06/2020,136.7459412,124.4406052,124.8340073,132.2571411,275.4016724,494.4299927,214.6848933
03/09/2020,131.1972351,113.1987534,114.5685654,127.0517731,265.2827759,474.4400024,204.2898509
03/10/2020,136.4849396,118.1084213,118.6217422,131.8939667,271.6470642,475.019989,208.6293538
03/11/2020,135.3539124,108.8027878,110.4957581,122.7310486,269.4933167,464.7000122,201.9294726
03/12/2020,121.8204575,98.58833313,99.62184906,116.7807388,242.9398193,431.8900146,185.2735354
04/01/2020,131.8738861,86.85256958,82.1725769,119.9467773,231.2376251,496.6499939,191.4555715
04/02/2020,137.4419556,87.63295746,82.33939362,123.9881363,234.2776642,498.75,194.0716845
04/03/2020,135.0059204,84.34339905,80.3079071,124.9379654,223.6083221,493.3200073,190.2539202
04/06/2020,136.8909302,95.32839203,91.8393631,130.1433411,241.9752045,504.269989,200.0745367
04/07/2020,137.151947,97.19546509,96.77579498,128.0202179,241.6828766,501.5100098,200.3893852
04/08/2020,141.3473206,105.6910324,106.0500183,133.4024963,260.9656982,512.3300171,209.9644305
04/09/2020,140.873642,103.2411423,106.0500183,131.5121765,257.3605347,512.960022,208.666256
05/01/2020,148.510376,97.94622803,102.9095306,138.0863647,277.2182007,525.5,215.02845
05/04/2020,148.1720581,97.23497009,101.6827927,138.0677948,280.1705322,541.8200073,217.8580259
05/05/2020,152.6284027,100.6628265,104.4797745,139.2131195,285.529541,574.3699951,226.1472766
05/06/2020,151.4587402,94.43932343,97.6295929,137.8908386,281.3689575,553.5,219.3812421
05/07/2020,147.8723755,95.35803223,100.6326981,137.4345398,277.6956177,559.8300171,219.8038801
05/08/2020,148.3943634,100.8208923,105.9126205,138.4681854,279.6443787,563.4000244,222.7734108
05/11/2020,153.2664337,97.2744751,102.2029343,138.8499908,281.2910156,574.1099854,224.4991392
05/12/2020,152.4640808,92.38456726,97.69830322,137.0155029,280.3264465,557.539978,219.5714798
06/01/2020,148.063446,103.3201675,106.805687,138.012207,298.0892029,599.4699707,232.2934469
06/02/2020,149.4329224,102.7669678,106.992157,139.0061188,298.4594421,617.6599731,235.7195969
06/03/2020,148.1411743,103.162117,105.932251,139.3811646,297.5240479,604.2800293,233.0701307
06/04/2020,146.3735352,101.6605682,104.9704742,137.5808716,290.4403992,598.539978,229.9276377
06/05/2020,144.9167023,107.8346863,113.4105072,138.1153564,303.8574829,597,234.1891225
06/08/2020,144.9167023,109.859787,115.8443832,137.6183929,301.5482178,604.039978,235.6379102
06/09/2020,144.8390198,107.8939514,113.8423309,136.858902,301.2851257,608.5900269,235.5515595
06/10/2020,146.6551971,101.2061462,108.0422592,138.5841522,297.9137878,606.5900269,233.1652616
06/11/2020,139.9343262,93.74782562,99.22929382,132.0862579,276.4581604,596.1599731,222.9359728
06/12/2020,139.4098511,94.41955566,98.67971039,133.2864532,277.8417664,588.3900146,222.0045586
07/01/2020,158.6012878,92.04869843,96.25565338,131.6268463,291.3488159,609.1699829,229.8418808
07/02/2020,159.154892,92.47348785,96.14768982,132.1800537,291.8674622,622.4500122,232.378933
07/06/2020,162.0879822,93.66879272,97.36461639,134.0646973,296.3198853,627.25,235.1259957
07/07/2020,161.9519958,90.06309509,94.44987488,133.9428253,290.2919312,640.8800049,235.2632879
07/08/2020,164.2635193,89.59880066,93.85121918,134.3366089,291.9652405,640.3400269,235.7259026
07/09/2020,161.6606445,87.53418732,92.58521271,133.6052704,284.9195862,640.6300049,233.489151
07/10/2020,158.6595459,88.67022705,94.92094421,133.4927216,284.9881287,620.8599854,230.2652588
08/03/2020,148.4422302,106.441803,123.5287476,138.1622314,297.1027527,645.1799927,243.1429596
08/04/2020,150.3944244,105.4144287,126.0018616,138.0403595,297.9736633,648.4299927,244.3757884
