Date,Low,Open,Volume,High,Close,Adjusted Close,,,
01/02/2020,130.7299957,131.7700043,2204200,132.2599945,132.2100067,127.1451492,,,
01/03/2020,130.2299957,130.3000031,1963500,132.4700012,131.7700043,126.7220154,,,
01/06/2020,130.9400024,131.4199982,2102900,132.5599976,132.2599945,127.1932602,,,
01/07/2020,131.6999969,131.6999969,2448300,132.9299927,132.5099945,127.4336777,,,
01/08/2020,132.0099945,132.4600067,5188600,134.2100067,133.7100067,128.5877228,,,
01/09/2020,134.0099945,134.5500031,4522800,136.3600006,135.9199982,130.7130585,,,
01/10/2020,135.5299988,135.7799988,4177600,138.2700043,138,132.7133636,,,
02/03/2020,139.6799927,140.5299988,5137800,141.5700073,141,135.5984497,,,
02/04/2020,141.7799988,142.3000031,3177500,144.0700073,143.4400024,137.9449615,,,
02/05/2020,144.5299988,144.7799988,4060900,147.3600006,147.3500061,141.7052002,,,
02/06/2020,146.8099976,147.7400055,3285000,147.8699951,147.3000031,141.657074,,,
02/07/2020,145.3800049,147.2200012,2670400,147.2200012,146.4100037,140.8011932,,,
02/10/2020,141.1199951,141.5,4892100,145.5500031,145.5099945,139.9356689,,,
02/11/2020,143.1799927,145.7299957,2976400,145.8600006,144.25,138.7239227,,,
02/12/2020,143.4900055,144.6699982,3953200,144.8999939,143.5099945,138.0122681,,,
03/02/2020,126.2099991,127.7399979,7355700,133,132.8399963,128.4131927,,,
03/03/2020,128.6900024,133.2799988,6936600,135.6499939,130.3099976,125.9675064,,,
03/04/2020,133,133.0299988,5301900,140.8600006,140.3800049,135.7019196,,,
03/05/2020,137.5299988,138.3800049,6882100,141.9100037,140.1499939,135.4795685,,,
03/06/2020,135.5500031,136.1199951,8010700,142.3600006,141.4600067,136.7459412,,,
03/09/2020,133.3099976,134.0200043,5351300,140.9299927,135.7200012,131.1972351,,,
03/10/2020,134.7200012,139.2299957,5961200,141.9299927,141.1900024,136.4849396,,,
03/11/2020,137.3899994,139.4600067,7211800,141.8399963,140.0200043,135.3539124,,,
03/12/2020,125.9300003,130.7899933,7836300,136.5,126.0199966,121.8204575,,,
04/01/2020,132.9799957,134,3297900,137.1900024,136.4199982,131.8738861,,,
04/02/2020,133.0299988,135.3500061,4725000,142.8000031,142.1799927,137.4419556,,,
04/03/2020,138.4600067,140.9199982,4013200,144.6000061,139.6600037,135.0059204,,,
04/06/2020,140.3000031,142.2700043,4159900,143.5,141.6100006,136.8909302,,,
04/07/2020,140.0500031,143.1300049,3900600,144.8000031,141.8800049,137.151947,,,
04/08/2020,140.5,142.0500031,4006600,147.25,146.2200012,141.3473206,,,
04/09/2020,143.5500031,144.5099945,4415300,146.3999939,145.7299957,140.873642,,,
05/01/2020,151.5700073,153.7200012,2576400,154.6000061,153.6300049,148.510376,,,
05/04/2020,151.2599945,154.6499939,2228500,156,153.2799988,148.1720581,,,
05/05/2020,152.75,153.8000031,2862600,159.2200012,157.8899994,152.6284027,,,
05/06/2020,156.3500061,158.4600067,1964800,158.9400024,156.6799927,151.4587402,,,
05/07/2020,152.7200012,157.5,2330600,157.6900024,152.9700012,147.8723755,,,
05/08/2020,152.5500031,154.1999969,1966600,154.4199982,153.5099945,148.3943634,,,
05/11/2020,153.0800018,153.4700012,3196200,159.4700012,158.5500031,153.2664337,,,
05/12/2020,157.5899963,159.8699951,2329400,161.3999939,157.7200012,152.4640808,,,
06/01/2020,150.8899994,154.4700012,5233800,154.9900055,152.4499969,148.063446,,,
06/02/2020,151.0399933,152.0800018,3269400,154.0800018,153.8600006,149.4329224,,,
06/03/2020,150.8500061,153.3399963,3190300,154.3899994,152.5299988,148.1411743,,,
06/04/2020,149.7100067,152.2100067,3328700,153.5399933,150.7100067,146.3735352,,,
06/05/2020,148.3399963,149.6999969,4578800,151.7599945,149.2100067,144.9167023,,,
06/08/2020,146.5200043,146.75,4076400,149.25,149.2100067,144.9167023,,,
06/09/2020,149.1100006,149.75,4302100,151.75,149.1300049,144.8390198,,,
06/10/2020,149.8399963,149.9600067,4940200,152.3999939,151,146.6551971,,,
06/11/2020,143.0500031,151.8500061,4547400,152.2400055,144.0800018,139.9343262,,,
06/12/2020,141.4700012,145.5399933,3973200,146.3800049,143.5399933,139.4098511,,,
07/01/2020,162.5200043,164.3200073,2065100,165.4700012,163.3000031,158.6012878,,,
07/02/2020,162.3699951,164.0700073,1960200,164.7700043,163.8699951,159.154892,,,
07/06/2020,164.0099945,164.4600067,2760100,168.9199982,166.8899994,162.0879822,,,
07/07/2020,165.2700043,166.1199951,3273300,168.3800049,166.75,161.9519958,,,
07/08/2020,166.8399963,166.8399963,2781800,169.8200073,169.1300049,164.2635193,,,
07/09/2020,163.7100067,169.8800049,2955200,170.75,166.4499969,161.6606445,,,
07/10/2020,162.7400055,166.1399994,2245100,166.1399994,163.3600006,158.6595459,,,
08/03/2020,151.2200012,152.8000031,3615000,153.8500061,152.8399963,148.4422302,,,
08/04/2020,153.0899963,153.3800049,3260000,156,154.8500061,150.3944244,,,
08/05/2020,153.3000031,157.3099976,2386400,157.4900055,154.3399963,149.8990936,,,
08/06/2020,151,153.8500061,2176200,155.5,152.8800049,148.4811096,,,
08/07/2020,151.5800018,152.9600067,2017100,153.5,152.9299927,148.5296631,,,
08/10/2020,151.5299988,152.9299927,1745200,153.4900055,153,148.5976563,,,
08/11/2020,150.1999969,153.1399994,2103400,153.1399994,150.6300049,146.2958374,,,
08/12/2020,150.6000061,150.7899933,2430400,153.1699982,152.5500031,148.1605988,,,
09/01/2020,146.6499939,148.6100006,2358700,149.1999969,147.3000031,143.7590027,,,
09/02/2020,146.5099945,146.7899933,2406800,150,149.5500031,145.9549408,,,
09/03/2020,147.4600067,152.1900024,4226100,153.3699951,149.0200043,145.4376831,,,
09/04/2020,147.9499969,148.7700043,4361800,152.5800018,150.9100037,147.2822266,,,
09/08/2020,148.5,150.9499969,4351200,151.3099976,149.3099976,145.7206879,,,
09/09/2020,150.3099976,150.6199951,2328500,154.1199951,151.9700012,148.3167419,,,
09/10/2020,145.7200012,149.8800049,3961300,150.6000061,146.2200012,142.7050018,,,
09/11/2020,146.8800049,147.5599976,3001400,149.1900024,148.0899963,144.5300293,,,
10/01/2020,144.0599976,148.3300018,3809200,148.7100067,144.2899933,140.8213654,,,
10/02/2020,143.2700043,143.6699982,3880000,146.9400024,145.2100067,141.7192688,,,
10/05/2020,144.1799927,145.0700073,2790600,147.4700012,146.6300049,143.1051331,,,
10/06/2020,143.9299927,146.9299927,2409200,147.8300018,144.1300049,140.6652222,,,
10/07/2020,146.8500061,148.5200043,4602800,149.8899994,148.9600067,145.3791199,,,
10/08/2020,150.5,152.3999939,4686100,153.9400024,153.5,149.809967,,,
10/09/2020,154.0700073,154.0899963,4590600,157.1499939,156.8800049,153.1087036,,,
10/12/2020,154.4199982,156.8300018,3242700,157.1499939,154.4900055,150.7761993,,,
11/02/2020,129.9900055,132.5399933,3449500,133.9499969,131.6300049,128.4657135,,,
11/03/2020,130.6999969,133.6399994,3628400,134.0700073,130.9799957,127.8313293,,,
11/04/2020,134.9100037,134.9100037,12211700,151.9799957,148.5899963,145.0180054,,,
11/05/2020,144.6999969,147.6799927,5731000,148.8099976,145.5200043,142.0218201,,,
11/06/2020,139.1000061,145.0500031,6229800,147.3899994,142.7400055,139.3086548,,,
11/09/2020,140.6000061,142.5399933,5493800,144.75,142.3300018,138.9084778,,,
11/10/2020,143.7899933,147.6000061,5377000,149.1999969,146.5599976,143.0368042,,,
11/11/2020,143.3699951,147.7599945,3046800,147.7599945,144.7599945,141.2800598,,,
11/12/2020,139.8600006,142.9299927,3463400,143.4600067,141.0299988,138.3469849,,,
12/01/2020,145.2599945,146.6900024,3954400,148.0599976,145.5599976,142.7907715,,,
12/02/2020,144.3800049,145.3600006,3757400,147.0899963,145.1600037,142.3983917,,,
12/03/2020,143.1300049,145.6999969,4059600,146.5,144.1100006,141.3683624,,,
12/04/2020,144,144.0700073,3058600,148.7200012,148.4499969,145.6258087,,,
12/07/2020,146.4799957,147.3000031,2637200,148.3300018,147.4199982,144.6154022,,,
12/08/2020,146.9100037,146.9799957,2754400,150.1399994,149.3000031,146.4596252,,,
12/09/2020,153.6799927,154.5899963,8364400,158.9400024,158,154.9941254,,,
12/10/2020,158.1799927,159.8699951,6430600,162,161,157.9370422,,,
12/11/2020,159.0599976,159.7200012,3441900,161.1799927,160.0399933,156.995285,,,
01/04/2021,163.1000061,169.0200043,3164800,169.4799957,165.5,162.3514404,,,
01/05/2021,163.1999969,165.1900024,2322600,166.6600037,166.3200073,163.155838,,,
01/06/2021,162.9700012,162.9799957,3619700,167.2799988,164.3200073,161.1938782,,,
01/07/2021,161.7799988,164.1799927,3025500,167.1199951,165.8300018,162.6751556,,,
01/08/2021,164.6399994,166.2200012,3438100,166.8600006,166.4100037,163.2441254,,,
01/11/2021,182.0200043,185,11396500,189.3000031,185.9400024,182.4025574,,,
01/12/2021,177.4400024,182.7899933,7179300,184.2400055,178.8000031,175.3983917,,,
02/01/2021,203.1000061,209.4600067,5383800,209.8899994,203.1399994,199.2753296,,,
02/02/2021,197.3500061,204.3800049,5314600,205.8999939,197.5599976,193.8014832,,,
02/03/2021,196.8899994,197.8099976,3679000,200.5899963,196.9600067,193.2129059,,,
02/04/2021,195.6399994,196.8099976,2924300,201.8800049,201.6199951,197.7842712,,,
02/05/2021,200.8500061,201.6199951,2732200,202.9199982,201.7700043,197.9313965,,,
02/08/2021,201.9100037,202.3800049,2909300,206.4299927,205.7700043,201.8553009,,,
02/09/2021,200.3200073,203.75,2661300,204.9499969,201.7100067,197.8725586,,,
02/10/2021,201.6399994,204.4700012,3062700,205.5500031,204.3899994,200.5015717,,,
02/11/2021,201.6199951,202.8699951,3544700,204.1799927,202.5800018,199.5559082,,,
02/12/2021,201.1499939,201.6499939,2611300,208.2200012,207.2899933,204.1955872,,,
03/01/2021,204.7799988,205.7799988,2797400,208.2400055,206.4700012,203.3878326,,,
03/02/2021,204.1000061,208.8899994,3445300,209.9499969,204.1399994,201.0926208,,,
03/03/2021,199.7100067,203.3699951,3660300,204.3099976,202,198.9845581,,,
03/04/2021,198.6100006,203.7899933,4308400,204.7400055,200.5399933,197.5463409,,,
03/05/2021,200.8800049,201.0200043,3875900,207.6699982,206.9199982,203.8311005,,,
03/08/2021,206.3200073,207,3300300,210.8899994,207.0299988,203.9394684,,,
03/09/2021,206.0599976,208.3399963,4227300,212.1600037,206.1100006,203.0332031,,,
03/10/2021,204.3899994,206.8899994,3400200,208.0399933,205.4499969,202.3830414,,,
03/11/2021,204.2700043,206.5099945,4037300,207.25,205.2100067,202.1466217,,,
03/12/2021,202.2799988,204.8899994,4541400,208.4600067,208.0800018,204.9737854,,,
04/01/2021,184.6600037,186.8200073,2340400,188.0700073,185.2400055,182.4747467,,,
04/05/2021,183.1000061,185.5899963,2864800,185.8999939,184.8899994,182.1299744,,,
04/06/2021,182.4900055,184.6900024,2488400,185.6300049,182.8000031,180.0711823,,,
04/07/2021,181.2200012,182.8999939,3406600,183.1799927,182.3200073,179.5983429,,,
04/08/2021,182.4700012,182.9499969,2393200,183.9700012,182.6100006,179.8840179,,,
04/09/2021,182.4100037,182.5299988,2611200,185.1399994,184.4900055,181.7359619,,,
04/12/2021,180.8800049,183.4299927,2876100,183.9400024,181.8200073,179.1058044,,,
05/03/2021,182.9199982,182.9900055,3197000,186.3500061,185.9199982,183.1446075,,,
05/04/2021,186.7799988,187.5299988,3703500,190.0800018,188.1999969,185.390564,,,
05/05/2021,188.1699982,188.6499939,4274400,193.5700073,192.8099976,189.9317627,,,
05/06/2021,189.3200073,191.5500031,3101600,194.1000061,193.8899994,190.9956207,,,
05/07/2021,193.8999939,194.8200073,2526700,196.2700043,195.4199982,192.5027924,,,
05/10/2021,193.5,196.1699982,2242000,196.6100006,194.7599945,191.8526306,,,
05/11/2021,193.0099945,193.3899994,1850200,195.75,194.75,191.8427887,,,
05/12/2021,192.7299957,194.75,2397400,195.6499939,193.1999969,190.315918,,,
06/01/2021,196.6799927,200.3200073,3070200,200.8899994,198.4199982,196.3217316,,,
06/02/2021,198.25,199.0099945,2030300,200.9199982,199.1300049,197.024231,,,
06/03/2021,198.6100006,198.9900055,3066600,203.6399994,202.6999969,200.5564728,,,
06/04/2021,201.2899933,202.7899933,2817700,204.4499969,202.0200043,199.883667,,,
06/07/2021,201.8300018,201.9900055,17231400,233.3300018,222.5200043,220.1668854,,,
06/08/2021,217.3699951,221.7100067,4618500,222.2700043,220.6999969,218.3661194,,,
06/09/2021,220.2599945,221.3500061,4934900,226.7299957,226,223.6100769,,,
06/10/2021,226.25,226.9700012,5598200,235.8500061,233.5399933,231.070343,,,
06/11/2021,221.5599976,227.0299988,5636000,229.5899963,224.0899963,221.7202759,,,
07/01/2021,228.6600037,229.5099945,1977300,231.5,231.1300049,228.6858368,,,
07/02/2021,231.3300018,231.9700012,1994000,234.2100067,233.9600067,231.4859161,,,
07/06/2021,233.2299957,233.6300049,3125400,235.5800018,235.4199982,232.9304657,,,
07/07/2021,233.4600067,234.6799927,3141500,236.5899963,235.8200073,233.3262482,,,
07/08/2021,232.1000061,233.8300018,2431500,237.2700043,237.1199951,234.6124878,,,
07/09/2021,232.75,237.1699982,4030100,238.4700012,234.9900055,232.5050201,,,
07/12/2021,235.1499939,235.1699982,2928600,238,236.0099945,233.5142212,,,
08/02/2021,244.25,245.7299957,1958900,247.8899994,246.6000061,243.9922485,,,
08/03/2021,243.5,244.75,5406200,259.3699951,255.9900055,253.282959,,,
08/04/2021,255.4199982,256,3892400,270.6499939,262.4700012,259.694397,,,
08/05/2021,261.3299866,263.2799988,2262400,265.5100098,264.1900024,261.3962402,,,
08/06/2021,260.7399902,263.5100098,2155200,264.269989,263.4400024,260.6541443,,,
08/09/2021,264.5,264.5799866,3238500,273.0400085,267.1600037,264.3348389,,,
08/10/2021,266.1799927,266.75,2060200,271.0799866,269.4500122,266.6005859,,,
08/11/2021,262.6600037,269.5899963,2813300,270.9400024,264.1000061,261.3071899,,,
08/12/2021,261.4899902,263.2000122,2100900,264.5400085,263.4700012,261.5255432,,,
09/01/2021,254.4900055,258.5400085,2956800,258.769989,257.3999939,255.500351,,,
09/02/2021,256.4700012,257.4100037,1469700,259.730011,259.5700073,257.6543274,,,
09/03/2021,256.7799988,260.8299866,1124500,260.9899902,259.5299988,257.6146545,,,
09/07/2021,254.4100037,259,2403700,260.8200073,254.8000031,252.9195404,,,
09/08/2021,253.6799927,254.6000061,1542400,255.7100067,254.8399963,252.9592438,,,
09/09/2021,239.6699982,253.2899933,4976600,254.0200043,240,238.2287598,,,
09/10/2021,238.5700073,242.1999969,4633500,243.8899994,239.5,237.7324524,,,
10/01/2021,225.4499969,231,2215700,231.6799927,229.5899963,227.8955841,,,
10/04/2021,224.2200012,227.8000031,4784700,230.1900024,224.8500061,223.1905823,,,
10/05/2021,226.1699982,226.4400024,2802000,232.5599976,230.9299927,229.2256927,,,
10/06/2021,226.0500031,230.5599976,2462700,230.8500061,227.8500061,226.1684418,,,
10/07/2021,229,229.1199951,2001800,234.1100006,233.1799927,231.4590912,,,
10/08/2021,231.5500031,233.4199982,2563000,235.8099976,233.9400024,232.2134857,,,
10/11/2021,233.6000061,236.6999969,1892300,237.9900055,233.6699982,231.9454803,,,
10/12/2021,231.9799957,234.6999969,1719200,235.0700073,232.7799988,231.0620422,,,
11/01/2021,248.0500031,255.1100006,2735800,256.480011,249.3099976,247.4700623,,,
11/02/2021,249.3999939,251.25,3987800,259.2999878,256.8500061,254.9544067,,,
11/03/2021,257.7600098,257.769989,4382900,266.7900085,266.2600098,264.2949829,,,
11/04/2021,265.269989,265.480011,4133400,271.1099854,271,268.9999695,,,
11/05/2021,258.5599976,268.9899902,3745700,269.4899902,265,263.044281,,,
11/08/2021,259.1499939,263.9899902,2386100,266.9100037,260.5299988,258.6072388,,,
11/09/2021,258.3900146,260.5299988,1963800,262.1600037,262.019989,260.0862427,,,
11/10/2021,261.6000061,262,2215100,266,264.6499939,262.6968384,,,
11/11/2021,261.9500122,262.3200073,1739400,264.3200073,262.6300049,260.6917419,,,
11/12/2021,258.9299927,261.7799988,1964000,262.519989,259.6499939,258.5705872,,,
12/01/2021,247.8899994,249.4400024,3241400,255.3000031,249.1300049,248.0943451,,,
12/02/2021,245.1199951,246.5200043,3817700,249.9799957,247.8800049,246.8495331,,,
12/03/2021,243.0800018,252.1300049,4169700,253.4799957,245.5800018,244.5590973,,,
12/06/2021,241.5299988,245.9199982,3491200,246.9400024,246.3300018,245.3059845,,,
12/07/2021,241.4499969,244.2400055,4035800,245.4400024,245.1100006,244.0910492,,,
12/08/2021,239.4700012,246.6100006,3636200,248.1799927,244.3200073,243.3043365,,,
12/09/2021,242.75,244.4900055,2291100,245.9100037,242.8999939,241.8902283,,,
12/10/2021,241.1999969,241.1999969,2380800,244.5899963,244.1399994,243.1250763,,,
01/03/2022,267.0599976,274.4100037,2621300,274.4100037,271.730011,270.6004028,,,
01/04/2022,263.5799866,269,2340500,269.8800049,266.8099976,265.7008362,,,
01/05/2022,260.4200134,268.1600037,3004200,268.769989,260.6499939,259.5664368,,,
01/06/2022,255.4600067,260.1000061,2863200,261.2999878,259.3299866,258.2519226,,,
01/07/2022,256.7099915,259.7399902,2245100,261.25,259.5,258.4212341,,,
01/10/2022,255.8899994,258.1900024,2576700,260.1600037,260.1099854,259.0286865,,,
01/11/2022,257.0599976,261.5899963,2294000,262.4100037,262.3200073,261.2295227,,,
01/12/2022,250.9700012,252.8999939,6562800,257.4400024,255.9199982,254.8561096,,,
02/01/2022,243.2599945,247.0500031,2449400,248.8399963,248.2799988,247.2478638,,,
02/02/2022,244.0299988,245.3500061,2586700,251.8800049,250.8300018,249.7872772,,,
02/03/2022,241.1000061,247.5,3473600,248.1199951,244.8099976,243.7922974,,,
02/04/2022,241.2200012,242.7200012,3569300,244.1000061,242.2700043,241.2628632,,,
02/07/2022,240.3000031,242.4100037,3948300,244.0299988,243.5500031,242.5375366,,,
02/08/2022,237.4700012,241.8999939,2615000,242.8899994,239.9100037,238.912674,,,
02/09/2022,241.0599976,241.2599945,1759900,244.4600067,243.2700043,242.2586975,,,
02/10/2022,238.1100006,239.8999939,2283100,244.0899963,239.6399994,238.6437836,,,
02/11/2022,234.8500061,239.2299957,2054300,240.6300049,235.7400055,234.7600098,,,
03/01/2022,245.4400024,247.5599976,2873200,250.3399963,249.5,249.5,,,
03/02/2022,249.0599976,249.8800049,2452000,256.480011,254.1699982,254.1699982,,,
03/03/2022,254.3899994,254.8300018,3153700,259.5799866,258.6400146,258.6400146,,,
03/04/2022,255.5200043,256.2099915,3497100,263.4599915,262.8699951,262.8699951,,,
03/07/2022,257.8599854,259.8599854,3074800,263.6300049,261.6400146,261.6400146,,,
03/08/2022,258.9100037,259.9299927,3482600,265.2999878,259.9299927,259.9299927,,,
03/09/2022,262.0700073,263.2999878,2965900,267.7900085,262.7900085,262.7900085,,,
03/10/2022,262.8399963,262.8399963,2797200,267.730011,266.019989,266.019989,,,
03/11/2022,265.0700073,265.0700073,2469600,271.7200012,266.2999878,266.2999878,,,
04/01/2022,284,286.1499939,3066200,293.1400146,292.6700134,292.6700134,,,
04/04/2022,290.9500122,292.75,3014100,294.980011,291.4200134,291.4200134,,,
04/05/2022,289.1000061,291.7200012,2324200,295.8299866,292.4899902,292.4899902,,,
04/06/2022,294.769989,296.0899963,4672900,306.5599976,305.8399963,305.8399963,,,
04/07/2022,305,305,4270800,314,308.4299927,308.4299927,,,
04/08/2022,307.9500122,308,3024700,312.3800049,311.6900024,311.6900024,,,
04/11/2022,308.0499878,313.0899963,2178100,313.7600098,308.9599915,308.9599915,,,
04/12/2022,304.1799927,306.5799866,2688100,309.6099854,308.0799866,308.0799866,,,
05/02/2022,284.2799988,291.230011,2789900,292.8399963,289.5599976,289.5599976,,,
05/03/2022,284.1099854,288.6300049,2109500,289.8099976,288.0700073,288.0700073,,,
05/04/2022,284.1199951,288.5,2743600,296.980011,294.8999939,294.8999939,,,
05/05/2022,288.2999878,293.4200134,3120200,294.9899902,292.3699951,292.3699951,,,
05/06/2022,288.519989,290.1700134,2931200,298.25,296.8999939,296.8999939,,,
05/09/2022,286.6499939,293.5100098,3460500,294.9299927,289.230011,289.230011,,,
05/10/2022,285,292,3140800,293.4299927,285.7000122,285.7000122,,,
05/11/2022,283,283.6700134,2625200,294.5,286.6900024,286.6900024,,,
05/12/2022,283.3299866,283.3299866,2370000,291.9899902,291.7999878,291.7999878,,,
06/01/2022,305.5899963,313.4400024,2731500,313.8999939,311.0799866,311.0799866,,,
06/02/2022,298.1700134,310.5700073,3703300,310.6700134,302.4299927,302.4299927,,,
06/03/2022,300.7000122,302.1600037,2490000,305.8099976,301.6499939,301.6499939,,,
06/06/2022,303.0899963,315.1300049,3734400,315.1300049,303.3599854,303.3599854,,,
06/07/2022,303.019989,303.9899902,3652800,312.1499939,312.1000061,312.1000061,,,
06/08/2022,310.8099976,312.4299927,2684500,315.5,313.4899902,313.4899902,,,
06/09/2022,303.1099854,311.6000061,1963300,311.9200134,303.25,303.25,,,
06/10/2022,296.8699951,299.230011,2469800,301.6600037,297.0100098,297.0100098,,,
07/01/2022,317.7600098,323.8800049,1817800,325.3999939,324.7099915,324.7099915,,,
07/05/2022,318.9299927,322.4400024,2107700,327.4299927,327.1799927,327.1799927,,,
07/06/2022,326.75,328,2252500,332.7399902,330.1499939,330.1499939,,,
07/07/2022,326.2399902,327.25,2395000,330.5,327.9500122,327.9500122,,,
07/08/2022,326.1600037,326.5499878,1898200,334.519989,330.4700012,330.4700012,,,
07/11/2022,329.4299927,330.6099854,1342600,332.6799927,331.0700073,331.0700073,,,
07/12/2022,323.3599854,330,2058200,331.9899902,323.5899963,323.5899963,,,
08/01/2022,323.4599915,327.5100098,2464300,330.4299927,324.1499939,324.1499939,,,
08/02/2022,319.3599854,327.1900024,3405700,328.980011,320.2000122,320.2000122,,,
08/03/2022,310.2200012,320.6300049,5152200,320.980011,313.8299866,313.8299866,,,
08/04/2022,302.2399902,310.2000122,4696300,310.25,305.7900085,305.7900085,,,
08/05/2022,300.3099976,302.480011,2814300,305.3200073,301.3200073,301.3200073,,,
08/08/2022,296.5299988,300.6499939,3218900,306.1199951,302.5,302.5,,,
08/09/2022,301.2999878,305.0899963,2122900,306.7000122,303.019989,303.019989,,,
08/10/2022,302.5899963,304.5,2351000,307.1300049,304.6099854,304.6099854,,,
08/11/2022,299.6300049,301.0299988,2198800,305.4200134,301.1700134,301.1700134,,,
08/12/2022,301.2999878,302.9200134,2305100,308.4899902,308.0799866,308.0799866,,,
09/01/2022,300.5,301,2939200,309.4100037,309.1300049,309.1300049,,,
09/02/2022,299.7600098,310.1099854,2525400,310.2200012,301.3299866,301.3299866,,,
09/06/2022,302.230011,302.9500122,2322200,312.8299866,306.8200073,306.8200073,,,
09/07/2022,304.8800049,308.769989,2228100,312.3999939,311.6000061,311.6000061,,,
09/08/2022,307.5899963,311.9500122,2212500,315.730011,315.5,315.5,,,
09/09/2022,315.2200012,316.4500122,2177000,320.1700134,317.7000122,317.7000122,,,
09/12/2022,314.8800049,318.8900146,2077400,320.4500122,315.2200012,315.2200012,,,
10/03/2022,317.0499878,325.9899902,3340500,329.3500061,321.5499878,321.5499878,,,
10/04/2022,321.7799988,322.1799927,2622500,330.1000061,329.8900146,329.8900146,,,
10/05/2022,327.519989,328.2999878,2186100,333.8500061,331.7799988,331.7799988,,,
10/06/2022,326.8699951,327.9400024,4299200,339.2600098,332.9500122,332.9500122,,,
10/07/2022,324.8999939,332.9700012,2601600,333.0700073,326.6600037,326.6600037,,,
10/10/2022,320.2399902,326.230011,1956200,327.0100098,323.8900146,323.8900146,,,
10/11/2022,319.4299927,320,2598900,329.0299988,327.6000061,327.6000061,,,
10/12/2022,323.8800049,327.3800049,1764700,333.6499939,324.5700073,324.5700073,,,
11/01/2022,340.75,345.8299866,7013000,358.9899902,352.5799866,352.5799866,,,
11/02/2022,350.2099915,354.1600037,3774400,363.1499939,354.9599915,354.9599915,,,
11/03/2022,351.5100098,354.0599976,2602500,362.8299866,361.6799927,361.6799927,,,
11/04/2022,353.3399963,365.2000122,3004600,365.8800049,357.4100037,357.4100037,,,
11/07/2022,357.5,358,2560300,367,365.0700073,365.0700073,,,
11/08/2022,361.9299927,365.1499939,3278600,368.75,366.6600037,366.6600037,,,
