Date,Low,Open,Volume,High,Close,Adjusted Close,,,,,
01/02/2020,13.56000042,13.97999954,1056200,13.97999954,13.64999962,12.64930916,,,,,
01/03/2020,13.52499962,13.57999992,1885900,13.81999969,13.77999973,12.76977825,,,,,
01/06/2020,13.73999977,13.90999985,2537000,13.98999977,13.88000011,12.86244774,,,,,
01/07/2020,13.64999962,13.84000015,1320100,13.88000011,13.72000027,12.71417713,,,,,
01/08/2020,13.61999989,13.72000027,1365600,13.80000019,13.77999973,12.76977825,,,,,
01/09/2020,13.68000031,13.77999973,2097000,13.84000015,13.77999973,12.76977825,,,,,
01/10/2020,13.72999954,13.81999969,1232300,13.92000008,13.89999962,12.88097858,,,,,
02/03/2020,14.06999969,14.09000015,909100,14.22999954,14.10999966,13.07558441,,,,,
02/04/2020,14.08500004,14.17000008,1132200,14.27499962,14.25,13.20532227,,,,,
02/05/2020,14.27000046,14.27999973,1068200,14.42000008,14.28999996,13.24239063,,,,,
02/06/2020,14.22500038,14.34000015,1875700,14.39999962,14.35000038,13.29799175,,,,,
02/07/2020,14.23999977,14.34000015,1585200,14.38000011,14.35000038,13.29799175,,,,,
02/10/2020,14.31999969,14.39999962,927000,14.42500019,14.38000011,13.32579136,,,,,
02/11/2020,14.38000011,14.38000011,1220600,14.47999954,14.43000031,13.37212658,,,,,
02/12/2020,14.43000031,14.46000004,1414000,14.60000038,14.55000019,13.48332882,,,,,
03/02/2020,12.01000023,12.22000027,3235700,12.46000004,12.44999981,11.53728104,,,,,
03/03/2020,12.14999962,12.42000008,2973500,12.75,12.30000019,11.39827824,,,,,
03/04/2020,12.43000031,12.47999954,2931300,12.70499992,12.52000046,11.60215092,,,,,
03/05/2020,11.96500015,12.30000019,2180100,12.42000008,12.10000038,11.21293926,,,,,
03/06/2020,11.53999996,11.77999973,2036200,11.94999981,11.84000015,10.97200203,,,,,
03/09/2020,10.57999992,11.36999989,2687000,11.36999989,10.57999992,9.804372787,,,,,
03/10/2020,10.25,10.86999989,1675200,10.98999977,10.97999954,10.17504787,,,,,
03/11/2020,10.06999969,10.67000008,3375500,10.72000027,10.10000038,9.359562874,,,,,
03/12/2020,9.090000153,9.380000114,3157600,9.784999847,9.149999619,8.479207039,,,,,
04/01/2020,7.860000134,8.279999733,2566400,8.489999771,8.220000267,7.702975273,,,,,
04/02/2020,7.940000057,8.260000229,4287700,8.43999958,8.050000191,7.543667793,,,,,
04/03/2020,7.800000191,7.929999828,3849100,8.140000343,8.050000191,7.543667793,,,,,
04/06/2020,8.31000042,8.449999809,3115800,9.055000305,8.800000191,8.246492386,,,,,
04/07/2020,9.050000191,9.31000042,2233700,9.649999619,9.149999619,8.574479103,,,,,
04/08/2020,9.159999847,9.289999962,2619400,9.675000191,9.510000229,8.91183567,,,,,
04/09/2020,9.600000381,9.829999924,2280100,10.38000011,10.01000023,9.380387306,,,,,
05/01/2020,8.869999886,9.340000153,1291000,9.350000381,8.949999809,8.387059212,,,,,
05/04/2020,8.460000038,8.75,3099700,8.819999695,8.579999924,8.040331841,,,,,
05/05/2020,8.585000038,8.840000153,816800,9.039999962,8.619999886,8.077815056,,,,,
05/06/2020,8.229999542,8.56000042,1046800,8.619999886,8.239999771,7.721716404,,,,,
05/07/2020,8.329999924,8.329999924,1653300,8.670000076,8.5,7.965362549,,,,,
05/08/2020,8.649999619,8.680000305,1067900,8.899999619,8.850000381,8.293348312,,,,,
05/11/2020,8.350000381,8.710000038,1501500,8.729999542,8.649999619,8.105927467,,,,,
05/12/2020,8.149999619,8.68999958,1734900,8.720000267,8.159999847,7.64674902,,,,,
06/01/2020,7.659999847,7.699999809,2084000,8.090000153,8.039999962,7.534296036,,,,,
06/02/2020,8.090000153,8.159999847,3908100,8.420000076,8.25,7.731087685,,,,,
06/03/2020,8.350000381,8.409999847,1384900,8.989999771,8.800000191,8.246492386,,,,,
06/04/2020,8.409999847,8.75,2135300,8.850000381,8.819999695,8.265235901,,,,,
06/05/2020,9.06000042,9.239999771,2924300,9.56000042,9.210000038,8.630705833,,,,,
06/08/2020,9.43999958,9.520000458,1597900,9.779999733,9.779999733,9.16485405,,,,,
06/09/2020,9.135000229,9.420000076,2163800,9.539999962,9.229999542,8.649446487,,,,,
06/10/2020,8.5,9.159999847,2643400,9.210000038,8.5,7.965362549,,,,,
06/11/2020,7.599999905,8.199999809,2023000,8.199999809,7.650000095,7.168827057,,,,,
