Date,Low,Open,Volume,High,Close,Adjusted Close
01/02/2020,136.1399994,137.5200043,1117300,137.7400055,137.5099945,128.1346588
01/03/2020,136.3500061,136.5500031,927300,137.3699951,137.0200043,127.6781235
01/06/2020,135.6399994,136.1499939,952800,137.2100067,137.1699982,127.8178864
01/07/2020,135.1000061,135.8899994,1204600,136.6300049,135.1600037,125.9449463
01/08/2020,135.4900055,135.9400024,1942800,137.6999969,136.6100006,127.2960815
01/09/2020,136.6999969,136.6999969,1228600,137.9100037,137.6199951,128.2371826
01/10/2020,135.3200073,135.8000031,1343200,136.4700012,135.5099945,126.2710648
02/03/2020,132.2799988,132.5099945,1494900,134.2899933,133.6100006,124.5006027
02/04/2020,132.4799957,134.4100037,1541400,135.25,132.5800018,123.5408173
02/05/2020,133.8600006,133.8600006,1404500,136.8399963,136.7799988,127.4545059
02/06/2020,136.4799957,137.2799988,937600,138,136.5,127.193573
02/07/2020,135.2299957,136.3999939,900200,136.8800049,136.0099945,126.7369843
02/10/2020,135.1399994,136.0099945,807700,136.2700043,136.2200012,126.9326859
02/11/2020,135.6499939,136.3399963,1042000,137.5099945,137.3800049,128.0135956
02/12/2020,135.6900024,137.5700073,824800,137.6900024,135.7100067,126.4574127
03/02/2020,119.3300018,119.8099976,3349900,127.6900024,127.6800003,118.9749146
03/03/2020,124.3700027,127.5800018,2694500,128.6000061,125.3099976,116.7664871
03/04/2020,125.3199997,126.2600021,2423100,131.5500031,131.5299988,122.5624237
03/05/2020,126.8099976,127.6500015,2445500,129.3300018,128.0200043,119.2917328
03/06/2020,122.4599991,124.2099991,2550400,125.7900009,124.8399963,116.328537
03/09/2020,113.3000031,116.1200027,3658300,118.4800034,116.1999969,108.9935226
03/10/2020,113.8000031,118.5800018,2615200,119.7799988,119.5699997,112.1545181
03/11/2020,111.1900024,115.6900024,3032200,116.3700027,112.5999985,105.6167755
03/12/2020,101.2200012,105.6100006,3485600,110.6600037,102.1800003,95.84301758
04/01/2020,94.40000153,94.76000214,3182600,98.06999969,95.19999695,89.29590607
04/02/2020,93.90000153,94.55000305,1852300,98.93000031,97.19000244,91.16248322
04/03/2020,92.94000244,96.08999634,1784100,97.31999969,93.88999939,88.06713867
04/06/2020,96.77999878,98,3042500,99.48999786,98.98000336,92.84148407
04/07/2020,100.6699982,102.4700012,1944000,104.1999969,100.7799988,94.52983856
04/08/2020,100.1200027,101.5999985,1482100,105.4800034,104.9400024,98.43185425
04/09/2020,105.75,106.3399963,1693400,111.6999969,109.7399979,102.934166
05/01/2020,95.63999939,99.48000336,2580200,99.81999969,96.05000305,90.09317017
05/04/2020,93.44999695,95.22000122,1657700,97.05999756,96.91000366,90.89984894
05/05/2020,96.76000214,97.62000275,1798700,99.62999725,96.84999847,90.84357452
05/06/2020,93.23000336,97.62000275,1309000,97.81999969,93.29000092,87.50434875
05/07/2020,94.19999695,94.19999695,1333100,97.90000153,95.80000305,89.85868835
05/08/2020,95.51000214,97.5,1125200,97.62000275,97.33999634,91.30317688
05/11/2020,94.45999908,96.62999725,1016200,96.70999908,95.51000214,89.58666992
05/12/2020,93.88999939,95.70999908,1913100,96.73000336,93.95999908,88.13280487
06/01/2020,105.4199982,106.7900009,1726700,109.3000031,109.1500015,102.3807449
06/02/2020,108.5500031,110.0699997,1795800,111.4599991,111,104.1160202
06/03/2020,112.5199966,113.0299988,1774200,115,114.4700012,107.3708191
06/04/2020,112.9499969,113.9800034,1695300,118.0100021,118,110.6818924
06/05/2020,120.1800003,121.2699966,3129600,125.2799988,124.3600006,116.6474457
06/08/2020,124.6200027,125,3168200,128.1300049,128,120.0617218
06/09/2020,123.9199982,124.2900009,2875400,126.9899979,125.4199982,118.4281464
06/10/2020,120.9700012,123.75,3377200,124.6600037,120.9800034,114.2356796
06/11/2020,110.3700027,116.4100037,3541000,117.3899994,110.5500031,104.3871231
06/12/2020,110.5599976,114.7200012,1885100,115.5500031,113.3300018,107.012146
07/01/2020,112.1999969,113.9599991,930500,114.7900009,112.5,106.2284012
07/02/2020,112.1800003,115.0400009,1040300,116,112.4599991,106.1906433
07/06/2020,113.3300018,115.2600021,1329600,116.3799973,114.5699997,108.1830215
07/07/2020,111.9800034,113.5899963,1222600,113.8199997,112.4800034,106.2095184
07/08/2020,111.5,111.9199982,1591200,113.7799988,113.1800003,106.8705063
07/09/2020,109.0899963,113.3799973,1506400,113.3799973,110.0400009,103.9055634
07/10/2020,110.2099991,110.2399979,1073600,114.2399979,113.8399963,107.4937057
08/03/2020,112.7300034,114.3600006,1266600,115.5400009,114.4000015,108.0224915
08/04/2020,112.3000031,113.4599991,1451600,114.0699997,113.0999985,106.7949524
08/05/2020,114.1699982,114.3600006,958700,115.7799988,115.0800018,108.6645966
08/06/2020,113.3399963,114.3600006,1632300,115.5,113.7399979,107.3992767
08/07/2020,113.0199966,113.0999985,2062900,117.5899963,117.3600006,110.817482
08/10/2020,116.9700012,118,1063600,119.3799973,119.1200027,112.4793625
08/11/2020,119.6200027,121.4000015,1609400,123.3000031,119.9199982,113.2347565
08/12/2020,118.2699966,121.5599976,1144600,121.5599976,118.8600006,112.2338486
09/01/2020,113.5800018,115.1600037,969900,115.3399963,114.6900024,108.2963333
09/02/2020,114.0199966,114.5299988,1391400,117.7200012,117.4800034,110.9307938
09/03/2020,114.4400024,118.3099976,1299400,120.8799973,115.3499985,108.9195328
09/04/2020,114.8799973,117.1999969,1460700,119,116.5699997,110.0715332
09/08/2020,112.6600037,116.3099976,1686800,116.4400024,113.7399979,107.3992767
09/09/2020,112.9300003,114.2099991,957600,115.4000015,113.6299973,108.1032944
09/10/2020,111.7699966,113.7300034,950200,114.9499969,111.8000031,106.3623123
09/11/2020,111.6500015,112.5199966,1040100,114.0699997,113.4000015,107.8844757
10/01/2020,106.2600021,108.1800003,1323600,109,107.8099976,102.5663681
10/02/2020,106.4599991,106.6900024,1220300,109.4899979,108.5800018,103.2989197
10/05/2020,109.5500031,110.5500031,1296300,112.0299988,111.9100037,106.4669495
10/06/2020,110.7900009,112.5500031,1491800,113.3099976,111.5299988,106.1054306
10/07/2020,112.0800018,112.0800018,1388000,114.3399963,113.8000031,108.2650299
10/08/2020,114.3499985,114.8499985,734400,116.9499969,115.6200027,109.9965057
10/09/2020,115.2300034,116.4400024,903800,116.9800034,115.8300018,110.1962891
10/12/2020,114.0599976,114.3499985,1370800,116.9199982,116.5400009,110.8717651
11/02/2020,120.4199982,123.0699997,1765700,124.3099976,123.9199982,117.8927994
11/03/2020,125.1100006,125.5,1546200,127.5100021,126.3399963,120.1951065
