Date,Low,Open,Volume,High,Close,Adjusted Close
01/02/2020,115.2300034,117.6800003,4158100,117.9700012,116.7900009,107.10466
01/03/2020,114.8399963,114.9700012,2477800,116.8600006,116.7200012,107.0404739
01/06/2020,114.3700027,115.4499969,3381600,116.2300034,116.1999969,106.5635834
01/07/2020,115.0699997,115.8600006,1952300,116.4400024,116,106.3801804
01/08/2020,115.3199997,115.3799973,2016000,117.5599976,116.6600037,106.985466
01/09/2020,116.3799973,117.0299988,2151500,117.8300018,116.9300003,107.2330551
01/10/2020,115.5999985,117.0699997,2545000,117.0699997,115.8700027,106.2609634
02/03/2020,101.6600037,104.1600037,5627100,104.4800034,102.0299988,93.5687027
02/04/2020,102.6200027,103.3399963,4858700,103.8600006,103.3799973,94.80674744
02/05/2020,104.3399963,104.6299973,4439900,106.5899963,106.0400009,97.24615479
02/06/2020,105.5,106.5999985,3861800,107.7900009,106.5100021,97.67719269
02/07/2020,103,106.0500031,5754400,106.3700027,103.1200027,94.56830597
02/10/2020,101.6299973,103.4000015,4669400,103.75,103.0699997,94.52246094
02/11/2020,103.2200012,103.4199982,2806300,105.4499969,104.8700027,96.17317963
02/12/2020,105.4899979,105.7699966,2493300,106.7699966,105.5400009,96.78762054
03/02/2020,89.41000366,92.05000305,8738800,93.13999939,92.75,85.90112305
03/03/2020,90.56999969,94.86000061,9263400,96,91.30000305,84.55819702
03/04/2020,91.43000031,92.29000092,6644800,95.87999725,95.81999969,88.74440765
03/05/2020,91.94000244,92.77999878,5277200,94.25,92.98999786,86.12338257
03/06/2020,90.13999939,90.26999664,5598400,94.48000336,94,87.05879974
03/09/2020,87.09999847,88.44000244,8648300,92,87.18000031,80.74241638
03/10/2020,87.19000244,90.48000336,8914200,92.94999695,92.81999969,85.96593475
03/11/2020,87.30999756,89.81999969,5557200,91.16999817,87.98999786,81.49259186
03/12/2020,82,82.22000122,9412800,92.44000244,86.16999817,79.80698395
04/01/2020,89.08000183,90.91000366,5762800,92.87999725,90.38999939,83.71537018
